id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1,2023-01-05,000001,Vente,1070000,184,,ALL DES HETRES,0124,01630,01354,Saint-Genis-Pouilly,01,,,01354000BD0334,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.019949,46.247458
2023-1,2023-01-05,000001,Vente,1070000,159,,ALL DES HETRES,0124,01630,01354,Saint-Genis-Pouilly,01,,,01354000BD0336,,,8,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.020204,46.247228
2023-1,2023-01-05,000001,Vente,1070000,159,,ALL DES HETRES,0124,01630,01354,Saint-Genis-Pouilly,01,,,01354000BD0336,,,22,,,,,,,,,,1,2,Appartement,233,8,,,,,,6.020204,46.247228
2023-2,2023-01-03,000001,Vente,152200,2914,,RTE DE PONCIN,0107,01450,01404,Serrières-sur-Ain,01,,,014040000D2317,,,,,,,,,,,,,0,1,Maison,64,3,S,sols,,,988,5.438273,46.129859
2023-3,2023-01-05,000001,Vente,269000,427,T,CHE DE L'AUBEPIN,0040,01800,01361,Saint-Jean-de-Niost,01,,,013610000B2405,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,835,5.225844,45.853513
2023-3,2023-01-05,000001,Vente,269000,427,T,CHE DE L'AUBEPIN,0040,01800,01361,Saint-Jean-de-Niost,01,,,013610000B2405,,,,,,,,,,,,,0,1,Maison,73,3,S,sols,,,835,5.225844,45.853513
2023-3,2023-01-05,000001,Vente,269000,427,T,CHE DE L'AUBEPIN,0040,01800,01361,Saint-Jean-de-Niost,01,,,013610000B2405,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,835,5.225844,45.853513
2023-4,2023-01-03,000001,Vente,770000,159,A,RUE DU PARC DE VILLARD,0151,01210,01281,Ornex,01,,,01281000AD0041,,,,,,,,,,,,,0,1,Maison,136,7,S,sols,,,921,6.083444,46.279993
2023-5,2023-01-06,000001,Vente,6820,,,ETANG DU BOIS,B062,01480,01446,Villeneuve,01,,,01446000ZL0019,,,,,,,,,,,,,0,,,,,T,terres,,,17050,4.879012,46.021213
2023-6,2023-01-06,000002,Echange,10040,,,CARRE ROCHER,B044,01500,01004,Ambérieu-en-Bugey,01,,,01004000AV0900,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,124,5.35921,45.971269
2023-6,2023-01-06,000002,Echange,10040,,,CARRE ROCHER,B044,01500,01004,Ambérieu-en-Bugey,01,,,01004000AV0934,,,,,,,,,,,,,0,,,,,S,sols,,,127,5.359094,45.971293
2023-7,2023-01-06,000003,Echange,12642,,,CARRE ROCHER,B044,01500,01004,Ambérieu-en-Bugey,01,,,01004000AV0935,,,,,,,,,,,,,0,,,,,P,prés,,,187,5.359016,45.971062
2023-7,2023-01-06,000003,Echange,12642,,,CARRE ROCHER,B044,01500,01004,Ambérieu-en-Bugey,01,,,01004000AV0936,,,,,,,,,,,,,0,,,,,P,prés,,,263,5.358931,45.97098
2023-8,2023-01-06,000003,Vente,85520,,,VACAGNOLE,B112,01340,01024,Attignat,01,,,01024000AI0123,,,,,,,,,,,,,0,,,,,P,prés,,,63,5.171281,46.269508
2023-8,2023-01-06,000003,Vente,85520,41,,CHE DE LA CROIX DE VACAGNOLE,0380,01340,01024,Attignat,01,,,01024000AI0127,,,,,,,,,,,,,0,3,Dépendance,,0,,,,,,5.171364,46.269235
2023-8,2023-01-06,000003,Vente,85520,41,,CHE DE LA CROIX DE VACAGNOLE,0380,01340,01024,Attignat,01,,,01024000AI0127,,,,,,,,,,,,,0,1,Maison,160,5,,,,,,5.171364,46.269235
2023-9,2023-01-04,000001,Vente,335000,352,,RUE DU VERGER,0100,01130,01152,Échallon,01,,,01152000AC0166,,,,,,,,,,,,,0,1,Maison,106,6,P,prés,,,778,5.74021,46.207131
2023-9,2023-01-04,000001,Vente,335000,352,,RUE DU VERGER,0100,01130,01152,Échallon,01,,,01152000AC0166,,,,,,,,,,,,,0,1,Maison,106,6,S,sols,,,1500,5.74021,46.207131
2023-10,2023-01-04,000001,Vente,8500,,,PETIT SIMANDRE,B122,01250,01408,Simandre-sur-Suran,01,,,014080000C1133,,,,,,,,,,,,,0,,,,,S,sols,,,159,5.419039,46.223797
