id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1,2022-01-03,000001,Vente,55000,13,,RUE DE LA LIBERTE,2280,01000,01053,Bourg-en-Bresse,01,,,01053000AM0102,,,7,24.1,,,,,,,,,1,2,Appartement,24,1,,,,,,5.218706,46.198054
2022-2,2022-01-03,000001,Vente,143000,,,CHAMP COCHET,B010,01480,01398,Savigneux,01,,,01398000ZE0184,,,,,,,,,,,,,0,,,,,S,sols,,,84,4.847867,46.000617
2022-2,2022-01-03,000001,Vente,143000,,,CHAMP COCHET,B010,01480,01398,Savigneux,01,,,01398000ZE0185,,,,,,,,,,,,,0,,,,,S,sols,,,88,4.84792,46.000576
2022-2,2022-01-03,000001,Vente,143000,98,,RTE DE LA DOMBES,0055,01480,01398,Savigneux,01,,,01398000ZE0187,,,1,123.23,,,,,,,,,1,2,Appartement,140,3,,,,,,4.848345,46.000585
2022-3,2022-01-04,000001,Vente,300,,,AUX PIERRES,B031,01480,01243,Messimy-sur-Saône,01,,,012430000A0643,,,,,,,,,,,,,0,,,,,T,terres,,,510,4.747627,46.045434
2022-4,2022-01-06,000001,Vente,255000,282,,RTE DE POISATON,0130,01560,01230,Mantenay-Montlin,01,,,01230000ZM0124,,,,,,,,,,,,,0,1,Maison,108,5,S,sols,,,649,5.103399,46.422366
2022-4,2022-01-06,000001,Vente,255000,,,LA FREGONIERE,B047,01560,01230,Mantenay-Montlin,01,,,01230000ZM0126,,,,,,,,,,,,,0,,,,,S,sols,,,360,5.103327,46.422248
2022-5,2022-01-03,000001,Vente,525000,,,PL DE LA CROIX BLANCHE,0300,01390,01333,Saint-André-de-Corcy,01,,,01333000AN0023,,,,,,,,,,,,,0,,,,,S,sols,,,50,4.951408,45.926424
2022-5,2022-01-03,000001,Vente,525000,217,,PL DE LA CROIX BLANCHE,0300,01390,01333,Saint-André-de-Corcy,01,,,01333000AN0186,,,,,,,,,,,,,0,2,Appartement,126,4,S,sols,,,628,4.951286,45.926504
2022-5,2022-01-03,000001,Vente,525000,217,,PL DE LA CROIX BLANCHE,0300,01390,01333,Saint-André-de-Corcy,01,,,01333000AN0186,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,424,0,S,sols,,,628,4.951286,45.926504
2022-6,2022-01-05,000001,Vente,254200,,,MAS ROLLAND,B036,01700,01376,Saint-Maurice-de-Beynost,01,,,01376000AC0589,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,784,4.977759,45.831907
2022-7,2022-01-05,000001,Vente,64000,12,,BD DE BROU,0620,01000,01053,Bourg-en-Bresse,01,,,01053000BC0223,,,7,39.05,,,,,,,,,1,2,Appartement,117,2,,,,,,5.229116,46.204999
2022-7,2022-01-05,000001,Vente,64000,12,,BD DE BROU,0620,01000,01053,Bourg-en-Bresse,01,,,01053000BC0223,,,7,39.05,,,,,,,,,1,3,Dépendance,,0,,,,,,5.229116,46.204999
2022-8,2022-01-03,000001,Vente,140000,6,,RUE DE BEAUGENCY,0397,01000,01053,Bourg-en-Bresse,01,,,01053000BZ0175,,,,,,,,,,,,,0,1,Maison,100,4,S,sols,,,796,5.250556,46.209586
2022-8,2022-01-03,000001,Vente,140000,,,RUE DE BEAUGENCY,0397,01000,01053,Bourg-en-Bresse,01,,,01053000BZ0223,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,IMM,Dépendances d'ensemble immobilier,260,5.249823,46.209593
2022-8,2022-01-03,000001,Vente,140000,,,RUE DE BEAUGENCY,0397,01000,01053,Bourg-en-Bresse,01,,,01053000BZ0224,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,IMM,Dépendances d'ensemble immobilier,590,5.250165,46.209491
2022-8,2022-01-03,000001,Vente,140000,,,RUE DE BEAUGENCY,0397,01000,01053,Bourg-en-Bresse,01,,,01053000BZ0241,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,IMM,Dépendances d'ensemble immobilier,262,5.249704,46.209465
2022-9,2022-01-04,000001,Vente,134000,13,,RUE DE CUIRON,1070,01000,01053,Bourg-en-Bresse,01,,,01053000CS0321,,,4,70.02,,,,,,,,,1,3,Dépendance,,0,,,,,,5.239453,46.191442
2022-9,2022-01-04,000001,Vente,134000,13,,RUE DE CUIRON,1070,01000,01053,Bourg-en-Bresse,01,,,01053000CS0321,,,4,70.02,,,,,,,,,1,2,Appartement,46,1,,,,,,5.239453,46.191442
